Method name;0.100;0.200;0.300;0.400;0.500;0.600;0.700;0.800;0.900;
1-NN method;0.906;0.915;0.904;0.907;0.921;0.901;0.906;0.917;1.000;
3-NN method;0.856;0.901;0.896;0.879;0.876;0.887;0.868;0.889;1.000;
5-NN method;0.819;0.873;0.888;0.907;0.899;0.901;0.868;0.861;0.889;
7-NN method;0.850;0.873;0.912;0.925;0.921;0.901;0.868;0.861;0.944;
