Method name;0.100;0.200;0.300;0.400;0.500;0.600;0.700;0.800;0.900;
1-NN method;0.881;0.866;0.872;0.888;0.944;0.944;0.906;0.889;0.833;
3-NN method;0.900;0.887;0.888;0.888;0.944;0.944;0.925;0.944;0.944;
5-NN method;0.887;0.887;0.896;0.916;0.955;0.958;0.925;0.917;0.889;
7-NN method;0.894;0.887;0.904;0.925;0.955;0.958;0.925;0.917;0.889;
