Method name;0.100;0.200;0.300;0.400;0.500;0.600;0.700;0.800;0.900;
1-NN method;0.875;0.901;0.936;0.925;0.921;0.944;0.962;0.944;0.944;
3-NN method;0.912;0.944;0.944;0.935;0.944;0.944;0.943;0.972;0.944;
5-NN method;0.850;0.937;0.936;0.935;0.944;0.930;0.981;0.944;0.889;
7-NN method;0.838;0.937;0.952;0.944;0.944;0.930;0.981;0.972;0.944;
