Method name;0.100;0.200;0.300;0.400;0.500;0.600;0.700;0.800;0.900;
1-NN method;0.351;0.343;0.347;0.343;0.363;0.376;0.366;0.364;0.379;
3-NN method;0.366;0.331;0.351;0.372;0.383;0.362;0.333;0.320;0.320;
5-NN method;0.365;0.337;0.351;0.371;0.394;0.391;0.372;0.340;0.311;
7-NN method;0.372;0.351;0.361;0.372;0.390;0.391;0.362;0.325;0.350;
