Method name;0.100;0.200;0.300;0.400;0.500;0.600;0.700;0.800;0.900;
1-NN method;0.330;0.312;0.352;0.356;0.357;0.350;0.353;0.364;0.369;
3-NN method;0.324;0.324;0.351;0.362;0.350;0.306;0.333;0.350;0.350;
5-NN method;0.317;0.346;0.356;0.346;0.369;0.342;0.343;0.359;0.388;
7-NN method;0.332;0.346;0.355;0.375;0.371;0.345;0.346;0.359;0.388;
